Package/Class,Method,Classification,Type,Resource
java.net.HttpCookie,getCommentURL(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getDomain(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getMaxAge(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getPath(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getPortList(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getSecure(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getValue(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpCookie,getVersion(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getHeaderField(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getHeaderFieldKey(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getPermission(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getRequestMethod(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getResponseCode(),Source/Questionable,,Java SE 10 JavaDoc
java.net.HttpURLConnection,getResponseMessage(),Source/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.Inet4Address,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Inet4Address,getHostAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Inet6Address,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Inet6Address,getByAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Inet6Address,getHostAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getByAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getByName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getCanonicalHostName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getHostAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getHostName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getLocalHost(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetAddress,getLoopbackAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetSocketAddress,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetSocketAddress,getHostName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetSocketAddress,getHostString(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InetSocketAddress,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InterfaceAddress,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.InterfaceAddress,getBroadcast(),Source/Questionable,,Java SE 10 JavaDoc
java.net.JarURLConnection,getJarEntry(),Source/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.JarURLConnection,<init>(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.JarURLConnection,getJarFile(),Source/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.JarURLConnection,getJarFileURL(),Source/Questionable,,Java SE 10 JavaDoc
java.net.MulticastSocket,getInterface(),Source/Questionable,,Java SE 10 JavaDoc
java.net.MulticastSocket,joinGroup(),Sink/Questionable,,Java SE 10 JavaDoc
java.net.MulticastSocket,send(),Sink,SINK_NETWORK,Java SE 10 JavaDoc
java.net.NetworkInterface,getHardwareAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getInetAddresses(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getInterfaceAddresses(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getSubInterfaces(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,inetAddresses(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,networkInterfaces(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,subInterfaces(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getByInetAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getByName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.NetworkInterface,getDisplayName(),Source/Questionable,,Java SE 10 JavaDoc
java.net.PasswordAuthentication,getPassword(),Source,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.PasswordAuthentication,getUserName(),Source,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.Proxy,address(),Source,,Java SE 10 JavaDoc
java.net.ProxySelector,select(),Questionable,,Java SE 10 JavaDoc
java.net.ProxySelector,setDefault(),Questionable,,Java SE 10 JavaDoc
java.net.ResponseCache,get(),Source,,Java SE 10 JavaDoc
java.net.ResponseCache,getDefault(),Source/Questionable,,Java SE 10 JavaDoc
java.net.ResponseCache,put(),Sink,,Java SE 10 JavaDoc
java.net.ResponseCache,setDefault(),Sink/Questionable,,Java SE 10 JavaDoc
java.net.ServerSocket,accept(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.ServerSocket,bind(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.ServerSocket,getInetAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.ServerSocket,getLocalPort(),Source,,Java SE 10 JavaDoc
java.net.ServerSocket,getLocalSocketAddress(),Source,,Java SE 10 JavaDoc
java.net.Socket,bind(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.Socket,connect(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.Socket,getInetAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Socket,getInputStream(),Source/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.Socket,getLocalAddress(),Source,,Java SE 10 JavaDoc
java.net.Socket,getLocalPort(),Source,,Java SE 10 JavaDoc
java.net.Socket,getLocalSocketAddress(),Source,,Java SE 10 JavaDoc
java.net.Socket,getOutputStream(),Sink,SINK_NETWORK,Java SE 10 JavaDoc
java.net.Socket,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Socket,getRemoteSocketAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.Socket,sendUrgentData(),Sink,SINK_NETWORK,Java SE 10 JavaDoc
java.net.SocketPermission,getActions(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getAuthority(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getFragment(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getHost(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getPath(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getQuery(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawAuthority(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawFragment(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawPath(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawQuery(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawSchemeSpecificPart(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getRawUserInfo(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getScheme(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getSchemeSpecificPart(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URI,getUserInfo(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getAuthority(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getContent(),Source/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URL,getDefaultPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getFile(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getHost(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getPath(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getProtocol(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getQuery(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getUserInfo(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,getRef(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URL,openConnection(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URL,openStream(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URLClassLoader,findClass(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLClassLoader,findResource(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLClassLoader,findResources(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLClassLoader,getPermissions(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLClassLoader,getResourceAsStream(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLClassLoader,loadClass(),Questionable,SINK_CODE_GENERATION,Java SE 10 JavaDoc
java.net.URLClassLoader,getURLs(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLConnection,<init>(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URLConnection,connect(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URLConnection,getContent(),Source/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.URLConnection,getInputStream(),Both,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.URLConnection,getOutputStream(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URLPermission,getActions(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLStreamHandler,getDefaultPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLStreamHandler,getHostAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.URLStreamHandler,openConnection(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.URLStreamHandler,setURL(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc
