Package/Class,Method,Classification,Type,Resource
java.io.DataInputStream,readDouble(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readChar(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readByte(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readBoolean(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,read(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readUTF(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeBoolean(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeByte(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeBytes(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeChar(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeChars(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeDoube(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeFloat(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeInt(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeLong(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeShort(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.DataOutputStream,writeUTF(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.File,createNewFile(),Questionable,SINK_FILE,Java SE 10 JavaDoc
java.io.File,createTempFile(),Questionable,SINK_FILE,Java SE 10 JavaDoc
java.io.File,delete(),Questionable,SINK_FILE,Java SE 10 JavaDoc
java.io.File,getAbsoluteFile(),Source,,Java SE 10 JavaDoc
java.io.File,getAbsolutePath(),Source,,Java SE 10 JavaDoc
java.io.File,getCanonicalFile(),Source,,Java SE 10 JavaDoc
java.io.File,getCanonicalPath(),Source,,Java SE 10 JavaDoc
java.io.File,getFreeSpace(),Source,,Java SE 10 JavaDoc
java.io.File,getName(),Source,,Java SE 10 JavaDoc
java.io.File,getParent(),Source,,Java SE 10 JavaDoc
java.io.File,getParentFile(),Source,,Java SE 10 JavaDoc
java.io.File,getPath(),Source,,Java SE 10 JavaDoc
java.io.File,getTotalSpace(),Source,,Java SE 10 JavaDoc
java.io.File,getUsableSpace(),Source,,Java SE 10 JavaDoc
java.io.File,lastModified(),Source,,Java SE 10 JavaDoc
java.io.File,length(),Source,,Java SE 10 JavaDoc
java.io.File,list(),Source,,Java SE 10 JavaDoc
java.io.File,listFiles(),Source,,Java SE 10 JavaDoc
java.io.File,listRoots(),Source,,Java SE 10 JavaDoc
java.io.File,renameTo,Questionable,SINK_FILE,Java SE 10 JavaDoc
java.io.File,setExecutable(),Questionable,SINK_FILE,Java SE 10 JavaDoc
java.io.File,setLastModified(),Questionable,,Java SE 10 JavaDoc
java.io.File,setReadable(),Questionable,,Java SE 10 JavaDoc
java.io.File,setWriteable(),Questionable,,Java SE 10 JavaDoc
java.io.FileInputStream,getChannel(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.FileInputStream,getFD(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.Writer,flush(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.Reader,read(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readFully(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readBoolean(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readbyte(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readChar(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readDouble(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readLong(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readInt(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readShort(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readFloat(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readUnsignedByte(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readUnsignedShort(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.RandomAccessFile,readUTF(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.ObjectInputStream,readObject(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.ObjectOutputStream,writeObject(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PipedInputStream,receive(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.LineNumberReader,readLine(),Source,SOURCE_FILE,CodeMaster
java.io.LineNumberReader,read(),Source,SOURCE_FILE,CodeMaster
java.io.PrintStream,<init>(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,append(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,print(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,printf(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,println(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,format(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintStream,write(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,<init>(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,append(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,print(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,printf(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,println(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,format(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.PrintWriter,write(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.FileWriter,<init>(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.FileWriter,append(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.FileWriter,write(),Sink,SINK_FILE,Java SE 10 JavaDoc
